Edad,Ingreso,Experiencia,Hijos,EstadoCivil,Vivienda,HistorialCredito,VisitasWeb,Compra
65,39793,37,3,Casado,Rentada,Regular,18,Si
22,8545,35,4,Casado,Propia,Regular,20,No
48,20007,1,3,Soltero,Propia,Bueno,15,Si
54,8268,24,1,Soltero,Propia,Bueno,1,Si
58,41223,37,0,Soltero,Propia,Malo,3,Si
37,28265,29,3,Casado,Rentada,Bueno,15,Si
39,34877,5,2,Divorciado,Rentada,Regular,17,No
62,44329,14,2,Casado,Rentada,Bueno,28,Si
42,8713,20,4,Soltero,Propia,Regular,5,No
53,48078,19,2,Casado,Propia,Bueno,15,Si
52,72404,12,3,Soltero,Propia,Bueno,16,Si
29,56853,10,3,Soltero,Propia,Bueno,26,Si
52,73177,3,4,Divorciado,Rentada,Regular,18,No
52,72332,33,0,Casado,Rentada,Bueno,22,Si
45,39477,13,0,Casado,Propia,Regular,28,Si
39,69728,37,0,Divorciado,Propia,Bueno,22,Si
34,41886,11,3,Soltero,Propia,Bueno,4,Si
56,33364,13,2,Casado,Propia,Bueno,28,Si
52,43023,13,4,Casado,Rentada,Regular,20,Si
36,28250,24,1,Soltero,Propia,Regular,10,No
24,36094,18,3,Casado,Rentada,Malo,19,Si
23,56819,17,3,Casado,Rentada,Bueno,12,Si
22,59647,11,4,Casado,Rentada,Bueno,9,Si
40,73165,2,2,Soltero,Propia,Bueno,7,Si
59,45269,36,1,Soltero,Propia,Bueno,28,Si
22,24114,8,2,Casado,Propia,Bueno,18,Si
40,70938,28,1,Casado,Rentada,Bueno,12,Si
27,77332,27,2,Divorciado,Propia,Bueno,27,Si
61,37544,21,0,Soltero,Propia,Regular,18,Si
55,24800,0,0,Divorciado,Propia,Regular,21,No
48,40349,11,1,Casado,Propia,Bueno,14,Si
58,61606,3,3,Soltero,Propia,Bueno,10,Si
53,76392,23,0,Soltero,Propia,Regular,15,Si
41,31176,2,4,Soltero,Propia,Regular,14,No
50,77846,5,4,Soltero,Rentada,Bueno,25,Si
47,58710,0,2,Soltero,Propia,Bueno,16,Si
54,51200,16,0,Soltero,Propia,Regular,7,Si
53,25823,2,3,Soltero,Rentada,Bueno,29,No
32,18604,2,2,Casado,Rentada,Malo,25,No
60,55769,8,4,Soltero,Propia,Bueno,21,Si
23,75616,17,2,Casado,Rentada,Malo,25,Si
62,13000,32,1,Casado,Rentada,Bueno,8,Si
25,57733,25,2,Casado,Propia,Regular,3,Si
20,21318,21,2,Soltero,Propia,Bueno,21,Si
31,17848,0,3,Casado,Rentada,Regular,13,No
54,18232,18,0,Divorciado,Propia,Regular,21,No
30,46852,5,4,Soltero,Propia,Bueno,17,Si
42,77479,25,2,Casado,Propia,Regular,22,Si
33,53588,20,0,Casado,Rentada,Regular,8,Si
38,17981,4,4,Soltero,Propia,Regular,6,No
56,38903,17,3,Soltero,Propia,Regular,13,Si
35,65631,14,2,Casado,Propia,Regular,14,Si
63,39903,19,0,Casado,Propia,Bueno,15,Si
47,21987,27,2,Divorciado,Rentada,Regular,21,No
64,34014,36,1,Soltero,Propia,Bueno,6,Si
50,74357,8,0,Casado,Rentada,Bueno,9,Si
26,35924,25,2,Soltero,Rentada,Malo,11,No
65,48994,19,1,Soltero,Propia,Regular,26,Si
46,71181,6,2,Casado,Rentada,Bueno,5,Si
36,46141,8,2,Soltero,Propia,Regular,7,No
26,42557,32,2,Soltero,Propia,Bueno,1,Si
34,32087,21,4,Casado,Rentada,Bueno,8,Si
59,75933,0,2,Soltero,Propia,Regular,20,Si
